ntp_time,throughput
1654264910.675345,44655
1654264915.675345,44708
1654264920.675345,44705
1654264925.675345,50835
1654264930.675345,44466
1654264935.675345,44505
1654264940.675345,50849
1654264945.675345,44429
1654264950.675345,44409
1654264955.675345,50451
1654264960.675345,43996
1654264965.675345,43938
1654264970.675345,43880
1654264975.675345,43955
1654264980.675345,50312
1654264985.675345,50039
1654264990.675345,43824
1654264995.675345,49979
1654265000.675345,43784
1654265005.675345,49880
1654265010.675345,43489
1654265015.675345,43489
1654265020.675345,49688
1654265025.675345,43484
1654265030.675345,49655
1654265035.675345,43422
1654265040.675345,43423
1654265045.675345,37251
1654265050.675345,49635
1654265055.675345,43387
1654265060.675345,49595
1654265065.675345,43423
1654265070.675345,43391
1654265075.675345,49407
1654265080.675345,43035
1654265085.675345,49027
1654265090.675345,48869
1654265095.675345,42727
1654265100.675345,48911
1654265105.675345,42839
1654265110.675345,48915
1654265115.675345,42861
1654265120.675345,42827
1654265125.675345,36660
1654265130.675345,42797
1654265135.675345,36718
1654265140.675345,42844
1654265145.675345,48927
1654265150.675345,42787
1654265155.675345,36694
1654265160.675345,42795
1654265165.675345,42780
1654265170.675345,42778
1654265175.675345,48901
1654265180.675345,42802
1654265185.675345,48926
1654265190.675345,42810
1654265195.675345,42778
1654265200.675345,48977
1654265205.675345,48853
1654265210.675345,42755
1654265215.675345,48837
1654265220.675345,48779
1654265225.675345,48858
1654265230.675345,42752
1654265235.675345,48855
1654265240.675345,42601
1654265245.675345,48603
1654265250.675345,42418
1654265255.675345,48659
1654265260.675345,42589
1654265265.675345,42564
1654265270.675345,48666
1654265275.675345,48691
1654265280.675345,42636
1654265285.675345,48624
1654265290.675345,42460
1654265295.675345,42533
1654265300.675345,42535
1654265305.675345,48605
1654265310.675345,42530
1654265315.675345,48507
1654265320.675345,42448
1654265325.675345,48482
1654265330.675345,48569
1654265335.675345,42446
1654265340.675345,48439
1654265345.675345,42293
1654265350.675345,42332
1654265355.675345,42374
1654265360.675345,48418
1654265365.675345,42421
1654265370.675345,48481
1654265375.675345,48492
1654265380.675345,42459
1654265385.675345,48493
1654265390.675345,42444
1654265395.675345,48463
1654265400.675345,48509
1654265405.675345,36372
1654265410.675345,42440
1654265415.675345,42474
1654265420.675345,48499
1654265425.675345,42468
1654265430.675345,42413
1654265435.675345,42400
1654265440.675345,36326
1654265445.675345,48415
1654265450.675345,42614
1654265455.675345,42110
1654265460.675345,48197
1654265465.675345,42168
1654265470.675345,42140
1654265475.675345,42191
1654265480.675345,48275
1654265485.675345,42215
1654265490.675345,42161
1654265495.675345,42139
1654265500.675345,42076
1654265505.675345,48083
1654265510.675345,42120
1654265515.675345,48281
1654265520.675345,42174
1654265525.675345,42116
1654265530.675345,42171
1654265535.675345,42210
1654265540.675345,42209
1654265545.675345,36171
1654265550.675345,48280
1654265555.675345,42199
1654265560.675345,36234
1654265565.675345,36226
1654265570.675345,42267
1654265575.675345,36210
1654265580.675345,42286
1654265585.675345,36225
1654265590.675345,36244
1654265595.675345,42261
1654265600.675345,17075
1654265605.675345,0
1654265610.675345,0
1654265615.675345,0
1654265620.675345,0
1654265625.675345,0
1654265630.675345,0
1654265635.675345,0
1654265640.675345,0
1654265645.675345,0
1654265650.675345,0
1654265655.675345,0
1654265660.675345,0
1654265665.675345,0
1654265670.675345,0
1654265675.675345,0
1654265680.675345,0
1654265685.675345,0
1654265690.675345,0
1654265695.675345,0
1654265700.675345,0
1654265705.675345,0
1654265710.675345,52933
1654265715.675345,67835
1654265720.675345,66332
1654265725.675345,82241
1654265730.675345,76657
1654265735.675345,76450
1654265740.675345,59973
1654265745.675345,70804
1654265750.675345,76182
1654265755.675345,65197
1654265760.675345,76094
1654265765.675345,65230
1654265770.675345,81531
1654265775.675345,59730
1654265780.675345,65112
1654265785.675345,70569
1654265790.675345,65161
1654265795.675345,70587
1654265800.675345,76064
1654265805.675345,81423
1654265810.675345,70689
1654265815.675345,70716
1654265820.675345,76203
1654265825.675345,81709
1654265830.675345,65431
1654265835.675345,76369
1654265840.675345,76385
1654265845.675345,81820
1654265850.675345,70983
1654265855.675345,81927
1654265860.675345,81994
1654265865.675345,76570
1654265870.675345,65642
1654265875.675345,71185
1654265880.675345,76676
1654265885.675345,65723
1654265890.675345,54769
1654265895.675345,65805
1654265900.675345,71236
1654265905.675345,60395
1654265910.675345,65970
1654265915.675345,65941
1654265920.675345,64723
